mouse,mice,mouses,mousees,micez
child,children,childs,childes,childi
goose,geese,gooses,goosies,goosen
fox,foxes,foxs,foxes,foxen
book,books,bookes,bookis,bookies
box,boxes,boxs,boxies,boxen
man,men,mans,manes,menin
tooth,teeth,tooths,toothes,teethen
egg,eggs,egges,eggis,eggies
pencil,pencils,penciles,pencilis,pencilies
tape,tapes,taps,tapees,tapen
glue,glues,gluees,gluis,gluies
color,colors,colores,coloris,colories
paint,paints,paintes,paintis,painties
leg,legs,leges,leggis,legies
grass,grasses,grasss,grassies,grassen
person,people,persons,peoples,persones
leaf,leaves,leafs,leafes,leavs
house,houses,hourses,housis,housies
bus,buses,busses,busis,busies
baby,babies,babys,babyes,babien
foot,feet,foots,footes,footi
sheep,sheep,sheeps,sheepes,sheepies
fish,fish,fishes,fishs,fishen
house,houses,hourses,housis,housies
